"Timestamp","Point ID","Flow (MWH)"
"07/12/2024 00:00:00",25043,0
"07/12/2024 00:00:00",25044,0
"07/12/2024 00:00:00",25118,40.9
"07/12/2024 00:00:00",25119,47.5
"07/12/2024 00:00:00",25242,10.3
"07/12/2024 00:00:00",25370,292.4
"07/12/2024 00:00:00",25371,292.4
"07/12/2024 00:00:00",25590,26
"07/12/2024 00:00:00",25593,-25
"07/12/2024 00:00:00",25598,0
"07/12/2024 00:00:00",25599,-196
"07/12/2024 00:00:00",25604,-148
"07/12/2024 00:00:00",25607,-25
"07/12/2024 00:00:00",25621,68.6
"07/12/2024 00:00:00",25622,69
"07/12/2024 00:00:00",25623,91.4
"07/12/2024 00:00:00",25624,96.7
"07/12/2024 00:00:00",25626,152.2
"07/12/2024 00:00:00",25630,13.7
"07/12/2024 00:00:00",25631,0
"07/12/2024 00:00:00",25632,6.6
"07/12/2024 00:00:00",25633,1.5
"07/12/2024 00:00:00",25639,-225.7
"07/12/2024 00:00:00",25640,-262.3
"07/12/2024 00:00:00",25641,-17.9
"07/12/2024 00:00:00",25649,-162.8
"07/12/2024 00:00:00",25650,-162.8
"07/12/2024 00:00:00",25678,109.9
"07/12/2024 00:00:00",25679,0
"07/12/2024 00:00:00",25793,-234
"07/12/2024 00:00:00",25794,-198.1
"07/12/2024 00:00:00",70573,-34.8
"07/12/2024 00:00:00",70574,-43.8
"07/12/2024 00:00:00",70575,-38.2
"07/12/2024 00:00:00",70700,16
"07/12/2024 00:00:00",70701,16
"07/12/2024 00:00:00",70703,-60
"07/12/2024 00:00:00",70704,-60
"07/12/2024 00:00:00",70705,-60.6
"07/12/2024 00:00:00",70706,-62
"07/12/2024 00:00:00",70707,-67.8
"07/12/2024 00:00:00",70709,-473.6
"07/12/2024 00:00:00",70710,398.6
"07/12/2024 00:00:00",70711,-56.4
"07/12/2024 00:00:00",325270,-60.9
"07/12/2024 00:00:00",325309,17.2
"07/12/2024 00:00:00",325712,-32
"07/12/2024 00:00:00",325750,132.3
"07/12/2024 00:00:00",325751,132.3
"07/12/2024 00:00:00",325813,-365.1
"07/12/2024 00:00:00",325848,9.6
"07/12/2024 00:00:00",325918,14.6
"07/12/2024 00:00:00",325930,74.2
"07/12/2024 00:00:00",325931,66.9
"07/12/2024 00:00:00",326071,0
"07/12/2024 00:00:00",326893,-125.6
"07/12/2024 00:00:00",327073,0
"07/12/2024 00:00:00",327181,0
"07/12/2024 00:00:00",327328,-77.6
"07/12/2024 00:00:00",327435,40.3
"07/12/2024 00:00:00",327480,382
"07/12/2024 00:00:00",327489,0
"07/12/2024 00:00:00",625028,0
"07/12/2024 00:00:00",625052,-125.7
"07/12/2024 00:05:00",25043,0
"07/12/2024 00:05:00",25044,0
"07/12/2024 00:05:00",25118,27.4
"07/12/2024 00:05:00",25119,34.5
"07/12/2024 00:05:00",25242,15.9
"07/12/2024 00:05:00",25370,319.3
"07/12/2024 00:05:00",25371,319.3
"07/12/2024 00:05:00",25590,34
